"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 19, 2021","1.2445","1.2423","1.3100","1.2404","206.66M","0.18%"
"Dec 18, 2021","1.2423","1.2183","1.2666","1.2010","196.30M","1.97%"
"Dec 17, 2021","1.2183","1.2399","1.2579","1.1848","259.72M","-1.74%"
"Dec 16, 2021","1.2399","1.3109","1.3295","1.2383","224.05M","-5.46%"
"Dec 15, 2021","1.3116","1.2665","1.3298","1.2050","280.96M","3.56%"
"Dec 14, 2021","1.2665","1.2231","1.2821","1.2007","306.88M","3.54%"
"Dec 13, 2021","1.2231","1.3461","1.3561","1.2007","277.80M","-9.14%"
"Dec 12, 2021","1.3462","1.3515","1.4136","1.3209","262.46M","-0.37%"
"Dec 11, 2021","1.3512","1.2108","1.3610","1.1922","314.40M","11.72%"
"Dec 10, 2021","1.2094","1.2893","1.3322","1.2077","348.26M","-6.21%"
"Dec 09, 2021","1.2895","1.3944","1.4080","1.2887","316.74M","-7.51%"
"Dec 08, 2021","1.3943","1.3783","1.4231","1.3399","328.75M","1.16%"
"Dec 07, 2021","1.3783","1.4212","1.4779","1.3656","419.79M","-3.05%"
"Dec 06, 2021","1.4217","1.3775","1.4379","1.2556","515.14M","3.21%"
"Dec 05, 2021","1.3775","1.4228","1.4342","1.2865","583.69M","-3.21%"
"Dec 04, 2021","1.4232","1.5553","1.5570","1.1972","867.37M","-8.49%"
"Dec 03, 2021","1.5553","1.7199","1.7281","1.5216","466.59M","-9.58%"
"Dec 02, 2021","1.7200","1.5477","1.7565","1.5186","586.89M","11.18%"
"Dec 01, 2021","1.5471","1.5532","1.6217","1.5331","259.95M","-0.40%"
"Nov 30, 2021","1.5533","1.6010","1.6276","1.5461","300.28M","-3.01%"
"Nov 29, 2021","1.6015","1.5941","1.6348","1.5582","290.68M","0.48%"
"Nov 28, 2021","1.5938","1.5435","1.5987","1.4230","358.15M","3.27%"
"Nov 27, 2021","1.5434","1.5328","1.5845","1.5317","249.90M","0.88%"
"Nov 26, 2021","1.5299","1.6749","1.6844","1.4980","542.99M","-8.66%"
"Nov 25, 2021","1.6749","1.6652","1.7475","1.6199","402.90M","0.51%"
"Nov 24, 2021","1.6664","1.7508","1.7520","1.5876","485.56M","-4.82%"
"Nov 23, 2021","1.7508","1.7762","1.8154","1.7448","242.49M","-1.45%"
"Nov 22, 2021","1.7765","1.8379","1.8379","1.7580","220.71M","-3.39%"
"Nov 21, 2021","1.8389","1.9206","1.9239","1.8337","159.81M","-4.25%"
"Nov 20, 2021","1.9205","1.8631","1.9550","1.8605","209.57M","3.04%"
"Nov 19, 2021","1.8637","1.7886","1.8922","1.7551","252.66M","4.20%"
"Nov 18, 2021","1.7886","1.8763","1.9061","1.7038","352.09M","-4.71%"
"Nov 17, 2021","1.8769","1.8757","1.8912","1.8010","394.50M","0.07%"
"Nov 16, 2021","1.8757","2.0180","2.0180","1.7702","453.59M","-7.05%"
"Nov 15, 2021","2.0178","2.0398","2.0928","2.0134","152.83M","-1.08%"
"Nov 14, 2021","2.0398","2.0505","2.0693","2.0103","111.32M","-0.52%"
"Nov 13, 2021","2.0505","2.0452","2.0792","2.0215","190.95M","0.26%"
"Nov 12, 2021","2.0452","2.0800","2.0984","1.9919","300.50M","-1.67%"
"Nov 11, 2021","2.0800","2.1004","2.1521","2.0620","406.24M","-0.97%"
"Nov 10, 2021","2.1004","2.2675","2.3263","1.9428","845.19M","-7.36%"
"Nov 09, 2021","2.2673","2.1256","2.3746","2.1058","849.35M","6.66%"
"Nov 08, 2021","2.1256","2.0197","2.1382","2.0094","287.42M","5.31%"
"Nov 07, 2021","2.0185","2.0048","2.0340","1.9750","155.52M","0.70%"
"Nov 06, 2021","2.0045","1.9814","2.0374","1.9437","175.90M","1.16%"
"Nov 05, 2021","1.9815","1.9826","2.0168","1.9610","202.76M","-0.11%"
"Nov 04, 2021","1.9836","2.0622","2.1026","1.9488","369.44M","-3.81%"
"Nov 03, 2021","2.0622","1.9695","2.1429","1.9502","505.06M","4.71%"
"Nov 02, 2021","1.9694","1.9488","1.9949","1.9348","211.94M","1.06%"
"Nov 01, 2021","1.9488","1.9656","2.0178","1.9159","270.39M","-0.82%"
"Oct 31, 2021","1.9649","1.9547","2.0250","1.9182","244.03M","0.52%"
"Oct 30, 2021","1.9547","2.0133","2.0179","1.9271","222.19M","-2.85%"
"Oct 29, 2021","2.0121","1.9862","2.0461","1.9810","287.00M","1.33%"
"Oct 28, 2021","1.9856","1.9107","2.0578","1.9079","546.72M","3.92%"
"Oct 27, 2021","1.9107","2.1369","2.1550","1.8102","643.95M","-10.59%"
"Oct 26, 2021","2.1369","2.1448","2.2006","2.1244","240.93M","-0.36%"
"Oct 25, 2021","2.1448","2.1192","2.1767","2.1145","164.12M","1.20%"
"Oct 24, 2021","2.1192","2.1655","2.1679","2.0930","158.55M","-2.10%"
"Oct 23, 2021","2.1646","2.1551","2.1744","2.1337","158.87M","0.45%"
"Oct 22, 2021","2.1549","2.1368","2.2094","2.1304","277.28M","0.85%"
"Oct 21, 2021","2.1368","2.1884","2.2969","2.1341","445.86M","-2.34%"
"Oct 20, 2021","2.1880","2.1099","2.2063","2.0919","224.73M","3.66%"
"Oct 19, 2021","2.1106","2.1288","2.1571","2.0928","179.35M","-0.85%"
"Oct 18, 2021","2.1288","2.1573","2.1739","2.1074","178.76M","-1.31%"
"Oct 17, 2021","2.1571","2.1765","2.1883","2.0952","191.46M","-0.89%"
"Oct 16, 2021","2.1765","2.2172","2.2492","2.1704","264.83M","-1.79%"
"Oct 15, 2021","2.2162","2.1725","2.2419","2.1392","348.05M","2.01%"
"Oct 14, 2021","2.1725","2.1877","2.2227","2.1573","203.22M","-0.70%"
"Oct 13, 2021","2.1877","2.1171","2.1983","2.0820","248.18M","3.34%"
"Oct 12, 2021","2.1169","2.1714","2.1714","2.0729","290.96M","-2.51%"
"Oct 11, 2021","2.1715","2.1892","2.2490","2.1185","242.66M","-0.82%"
"Oct 10, 2021","2.1895","2.2679","2.2767","2.1658","189.65M","-3.36%"
"Oct 09, 2021","2.2656","2.2363","2.2998","2.2208","147.26M","1.38%"
"Oct 08, 2021","2.2348","2.2765","2.3109","2.2198","178.97M","-1.82%"
"Oct 07, 2021","2.2762","2.2101","2.3712","2.1521","324.64M","3.00%"
"Oct 06, 2021","2.2099","2.2330","2.2500","2.1125","235.79M","-1.04%"
"Oct 05, 2021","2.2330","2.1902","2.2569","2.1799","168.24M","1.96%"
"Oct 04, 2021","2.1900","2.2511","2.2521","2.1512","192.08M","-2.71%"
"Oct 03, 2021","2.2511","2.2487","2.3081","2.2220","193.75M","0.10%"
"Oct 02, 2021","2.2488","2.2554","2.3207","2.1938","274.02M","-0.37%"
"Oct 01, 2021","2.2572","2.1162","2.2735","2.0929","328.38M","6.66%"
"Sep 30, 2021","2.1164","2.0655","2.1349","2.0515","250.07M","2.45%"
"Sep 29, 2021","2.0658","2.0370","2.1424","2.0220","272.69M","1.43%"
"Sep 28, 2021","2.0367","2.1312","2.1716","2.0300","289.31M","-4.41%"
"Sep 27, 2021","2.1307","2.2090","2.2726","2.1293","288.51M","-3.52%"
"Sep 26, 2021","2.2084","2.2985","2.2999","2.1490","452.94M","-3.92%"
"Sep 25, 2021","2.2985","2.2780","2.4553","2.2395","649.94M","0.90%"
"Sep 24, 2021","2.2780","2.3277","2.3436","2.0700","656.06M","-2.13%"
"Sep 23, 2021","2.3277","2.2577","2.3442","2.1808","355.13M","3.03%"
"Sep 22, 2021","2.2591","1.9842","2.2659","1.9691","564.97M","13.92%"
"Sep 21, 2021","1.9830","2.0684","2.2239","1.9132","795.40M","-4.13%"
"Sep 20, 2021","2.0684","2.2827","2.2884","1.9827","-","-9.39%"
"Sep 19, 2021","2.2827","2.3719","2.3959","2.2612","222.62M","-3.76%"
"Sep 18, 2021","2.3719","2.3476","2.4374","2.3126","193.89M","1.04%"
"Sep 17, 2021","2.3476","2.4171","2.4396","2.3227","235.04M","-2.90%"
"Sep 16, 2021","2.4176","2.5026","2.5119","2.3821","358.13M","-3.39%"
"Sep 15, 2021","2.5025","2.3950","2.5811","2.3643","444.87M","4.56%"
"Sep 14, 2021","2.3934","2.4029","2.4362","2.3240","416.79M","-0.42%"
"Sep 13, 2021","2.4036","2.5829","2.5922","2.3112","683.87M","-6.96%"
"Sep 12, 2021","2.5833","2.6352","2.7866","2.5061","837.41M","-1.98%"
"Sep 11, 2021","2.6354","2.3834","2.7945","2.3699","9.74M","10.62%"
"Sep 10, 2021","2.3825","2.5164","2.5848","2.2786","80.92M","-5.31%"
"Sep 09, 2021","2.5161","2.4699","2.6202","2.3969","573.39M","1.87%"
"Sep 08, 2021","2.4699","2.5047","2.5614","2.2011","785.86M","-1.39%"
"Sep 07, 2021","2.5047","2.8323","2.8747","2.0316","1.24B","-11.57%"
"Sep 06, 2021","2.8323","2.9106","2.9257","2.7968","324.01M","-2.71%"
"Sep 05, 2021","2.9112","2.8302","2.9552","2.8240","283.80M","2.86%"
"Sep 04, 2021","2.8302","2.9653","2.9653","2.8070","128.51M","-4.55%"
"Sep 03, 2021","2.9652","2.9610","3.0291","2.9030","359.20M","0.14%"
"Sep 02, 2021","2.9610","2.8695","3.0989","2.8368","555.92M","3.17%"
"Sep 01, 2021","2.8700","2.7693","2.9012","2.7226","331.41M","3.63%"
"Aug 31, 2021","2.7693","2.7340","2.8789","2.7068","392.37M","1.25%"
"Aug 30, 2021","2.7353","2.8527","2.8833","2.7226","390.90M","-4.12%"
"Aug 29, 2021","2.8527","2.8464","2.9287","2.7251","396.34M","0.21%"
"Aug 28, 2021","2.8467","2.9460","2.9492","2.7760","400.80M","-3.37%"
"Aug 27, 2021","2.9459","2.5295","2.9459","2.4992","638.38M","16.22%"
"Aug 26, 2021","2.5347","2.7402","2.7846","2.4701","-","-7.50%"
"Aug 25, 2021","2.7402","2.7243","2.7958","2.6124","603.58M","0.58%"
"Aug 24, 2021","2.7242","2.9165","2.9463","2.5985","844.24M","-6.55%"
"Aug 23, 2021","2.9153","2.7058","2.9701","2.6898","841.88M","7.70%"
"Aug 22, 2021","2.7068","2.4360","2.7184","2.4337","621.80M","11.12%"
"Aug 21, 2021","2.4360","2.4553","2.5288","2.3870","349.36M","-0.78%"
"Aug 20, 2021","2.4553","2.4390","2.5794","2.3734","810.94M","0.67%"
"Aug 19, 2021","2.4390","2.1049","2.4522","2.0464","867.20M","15.61%"
"Aug 18, 2021","2.1097","1.9253","2.1611","1.8787","590.03M","9.57%"
"Aug 17, 2021","1.9255","2.0729","2.1401","1.9131","437.15M","-7.11%"
"Aug 16, 2021","2.0729","2.1669","2.1963","2.0485","509.15M","-4.38%"
"Aug 15, 2021","2.1679","2.1888","2.2493","2.0321","718.04M","-0.96%"
"Aug 14, 2021","2.1889","2.1370","2.2510","2.0890","1.05B","2.43%"
"Aug 13, 2021","2.1370","1.8288","2.1475","1.8233","994.02M","16.85%"
"Aug 12, 2021","1.8288","1.7976","1.8669","1.6808","69.99M","1.72%"
"Aug 11, 2021","1.7979","1.6776","1.8917","1.6703","810.29M","7.22%"
"Aug 10, 2021","1.6768","1.4754","1.6994","1.4576","558.57M","13.67%"
"Aug 09, 2021","1.4752","1.4262","1.4987","1.3947","322.95M","3.42%"
"Aug 08, 2021","1.4264","1.4735","1.4943","1.4077","337.15M","-3.24%"
"Aug 07, 2021","1.4741","1.4011","1.4846","1.3958","396.61M","5.21%"
"Aug 06, 2021","1.4011","1.3859","1.4243","1.3622","272.05M","1.10%"
"Aug 05, 2021","1.3859","1.3759","1.3972","1.3390","259.90M","0.72%"
"Aug 04, 2021","1.3759","1.3648","1.3930","1.3237","325.17M","0.81%"
"Aug 03, 2021","1.3648","1.3086","1.3822","1.2626","-","4.29%"
"Aug 02, 2021","1.3086","1.3143","1.3485","1.2961","231.98M","-0.58%"
"Aug 01, 2021","1.3163","1.3178","1.3868","1.2996","328.16M","-0.02%"
"Jul 31, 2021","1.3166","1.3104","1.3321","1.2896","222.18M","0.56%"
"Jul 30, 2021","1.3093","1.2837","1.3172","1.2491","280.49M","2.03%"
"Jul 29, 2021","1.2832","1.2859","1.2986","1.2588","95.20M","-0.21%"
"Jul 28, 2021","1.2859","1.2804","1.3169","1.2586","340.48M","0.43%"
"Jul 27, 2021","1.2805","1.2552","1.3151","1.2150","418.43M","2.01%"
"Jul 26, 2021","1.2552","1.2282","1.3974","1.2226","596.83M","2.20%"
"Jul 25, 2021","1.2281","1.2160","1.2361","1.1912","181.71M","1.08%"
"Jul 24, 2021","1.2150","1.2053","1.2237","1.1978","221.74M","0.80%"
"Jul 23, 2021","1.2054","1.1856","1.2067","1.1470","91.89M","1.65%"
"Jul 22, 2021","1.1859","1.1697","1.2051","1.1503","298.36M","1.38%"
"Jul 21, 2021","1.1697","1.0545","1.2211","1.0372","464.72M","10.92%"
"Jul 20, 2021","1.0545","1.1223","1.1341","1.0211","412.27M","-5.95%"
"Jul 19, 2021","1.1212","1.1823","1.1909","1.1167","218.34M","-5.17%"
"Jul 18, 2021","1.1823","1.1713","1.2181","1.1682","185.35M","0.94%"
"Jul 17, 2021","1.1713","1.1716","1.1943","1.1507","219.88M","-0.03%"
"Jul 16, 2021","1.1716","1.2253","1.2435","1.1660","252.66M","-4.36%"
"Jul 15, 2021","1.2250","1.2631","1.2886","1.2060","235.34M","-3.02%"
"Jul 14, 2021","1.2631","1.2650","1.2887","1.1991","263.35M","-0.14%"
"Jul 13, 2021","1.2649","1.3147","1.3207","1.2507","206.08M","-3.79%"
"Jul 12, 2021","1.3147","1.3479","1.3731","1.2922","-","-2.46%"
"Jul 11, 2021","1.3479","1.3353","1.3663","1.3232","128.62M","0.92%"
"Jul 10, 2021","1.3357","1.3496","1.3654","1.3183","158.19M","-1.02%"
"Jul 09, 2021","1.3495","1.3324","1.3721","1.2903","256.51M","1.28%"
"Jul 08, 2021","1.3324","1.4038","1.4060","1.3294","243.36M","-5.09%"
"Jul 07, 2021","1.4038","1.4163","1.4401","1.4002","214.64M","-0.88%"
"Jul 06, 2021","1.4163","1.4040","1.4566","1.3924","231.11M","0.87%"
"Jul 05, 2021","1.4041","1.4613","1.4614","1.3784","295.33M","-3.94%"
"Jul 04, 2021","1.4616","1.4209","1.4943","1.4207","291.73M","2.86%"
"Jul 03, 2021","1.4209","1.3955","1.4407","1.3588","337.75M","1.82%"
"Jul 02, 2021","1.3955","1.3330","1.3956","1.2861","374.91M","4.69%"
"Jul 01, 2021","1.3330","1.3838","1.3840","1.3037","356.70M","-3.67%"
"Jun 30, 2021","1.3838","1.3712","1.3984","1.2865","472.70M","0.92%"
"Jun 29, 2021","1.3712","1.3260","1.4196","1.3195","466.56M","3.51%"
"Jun 28, 2021","1.3247","1.3363","1.3491","1.3044","403.52M","-0.81%"
"Jun 27, 2021","1.3355","1.2517","1.3478","1.2413","429.63M","6.70%"
"Jun 26, 2021","1.2517","1.2547","1.2910","1.1985","634.25M","-0.24%"
"Jun 25, 2021","1.2547","1.3570","1.3958","1.2449","943.95M","-7.54%"
"Jun 24, 2021","1.3570","1.2506","1.3973","1.2029","446.00M","8.51%"
"Jun 23, 2021","1.2506","1.1520","1.3065","1.1100","963.81M","8.56%"
"Jun 22, 2021","1.1520","1.1757","1.2625","1.0010","462.25M","-2.02%"
"Jun 21, 2021","1.1757","1.4269","1.4269","1.1680","841.29M","-17.60%"
"Jun 20, 2021","1.4269","1.3856","1.4269","1.3066","436.50M","2.98%"
"Jun 19, 2021","1.3855","1.4127","1.4405","1.3838","323.50M","-1.94%"
"Jun 18, 2021","1.4129","1.4809","1.4926","1.3756","386.36M","-4.60%"
"Jun 17, 2021","1.4810","1.4843","1.5380","1.4580","311.28M","-0.16%"
"Jun 16, 2021","1.4833","1.5564","1.5747","1.4746","385.43M","-4.70%"
"Jun 15, 2021","1.5565","1.5757","1.6104","1.5448","382.73M","-1.23%"
"Jun 14, 2021","1.5758","1.5585","1.5934","1.5087","495.19M","1.10%"
"Jun 13, 2021","1.5586","1.4773","1.5791","1.4008","594.54M","5.52%"
